genes	discription
ABL1	
ACVR1	oncogene
ACVR1B 	possible tsg
ACVR2A	possible tsg
AJUBA	tsg
AKT1	oncogene
ALB	possible tsg
ALK	
AMER1	possible tsg
APC	tsg
APOB	possible tsg
AR	
ARAF	
ARHGAP35	tsg
ARID1A	tsg
ARID2	possible tsg
ARID5B	possible tsg
ASXL1	possible tsg
ASXL2	possible tsg
ATF7IP	possible tsg
ATM	tsg
ATR	possible tsg
ATRX	tsg
ATXN3	possible tsg
AXIN1	tsg
AXIN2	possible tsg
B2M	possible tsg
BAP1	possible tsg
BCL2	
BCL2L11	
BCOR	possible oncogene
BRAF	oncogene
BRCA1	tsg
BRCA2	possible tsg
BRD7	tsg
BTG2	possible tsg
CACNA1A	possible oncogene
CARD11	possible oncogene
CASP8	tsg
CBFB	possible tsg
CBWD3	
CCND1	possible oncogene
CD70	possible tsg
CD79B	oncogene
CDH1	tsg
CDK12	tsg
CDK4	oncogene
CDKN1A	tsg
CDKN1B	possible tsg
CDKN2A	possible tsg
CDKN2C	possible tsg
CEBPA	possible oncogene
CHD3	possible tsg
CHD4	oncogene
CHD8	tsg
CHEK2	possible tsg
CIC	possible tsg
CNBD1	oncogene
COL5A1	oncogene
CREB3L3	possible tsg
CREBBP	tsg
CSDE1	tsg
CTCF	possible tsg
CTNNB1	oncogene
CTNND1	tsg
CUL1	oncogene
CUL3	tsg
CYLD	possible tsg
CYSLTR2	oncogene
DACH1	oncogene
DAZAP1	possible tsg
DDX3X	tsg
DHX9	possible oncogene
DIAPH2	possible oncogene
DICER1	possible oncogene
DMD	oncogene
DNMT3A	tsg
EEF1A1	oncogene
EEF2	tsg
EGFR	oncogene
EGR3	
EIF1AX	possible oncogene
ELF3	possible tsg
EP300	tsg
EPAS1	oncogene
EPHA2	tsg
EPHA3	
ERBB2	possible oncogene
ERBB3	oncogene
ERBB4	oncogene
ERCC2	possible oncogene
ESR1	
EZH2	
FAM46D	oncogene
FAT1	possible tsg
FBXW7	possible oncogene
FGFR1	
FGFR2	oncogene
FGFR3	oncogene
FLNA	tsg
FLT3	oncogene
FOXA1	possible tsg
FOXA2	possible tsg
FOXQ1	possible tsg
FUBP1	tsg
GABRA6	
GATA3	possible tsg
GNA11	oncogene
GNA13	oncogene
GNAQ	oncogene
GNAS	oncogene
GPS2	possible tsg
GRIN2D	possible oncogene
GTF2I	oncogene
H3F3A	possible oncogene
H3F3C	
HGF	
HIST1H1C	
HIST1H1E	possible oncogene
HLA-A	tsg
HLA-B	tsg
HRAS	oncogene
HUWE1	possible tsg
IDH1	oncogene
IDH2	oncogene
IL6ST	possible tsg
IL7R	
INPPL1	possible tsg
IRF2	tsg
IRF6	possible tsg
