Gene;Tier;;;
ABL1;1;;;
AKT1;1;;;
ALK;1;;;
APC;1;;;
ARAF;1;;;
ARID1A;1;;;
ATM;1;;;
BAP1;1;;;
BARD1;1;;;
BRAF;1;;;
BRCA1;1;;;
BRCA2;1;;;
BRIP1;1;;;
BTK;1;;;
CCNE1;1;;;
CDK12;1;;;
CDK4;1;;;
CDKN2A;1;;;
CHEK1;1;;;
CHEK2;1;;;
DICER1;1;;;
EGFR;1;;;
ERBB2;1;;;
ERCC2;1;;;
ESR1;1;;;
EZH2;1;;;
FANCL;1;;;
FGFR1;1;;;
FGFR2;1;;;
FGFR3;1;;;
FH;1;;;
FLCN;1;;;
FLI1;1;;;
FLT3;1;;;
HRAS;1;;;
IDH1;1;;;
IDH2;1;;;
JAK2;1;;;
KDM6A;1;;;
KIT;1;;;
KMT2A;1;;;
KRAS;1;;;
MAP2K1;1;;;
MAP2K2;1;;;
MDM2;1;;;
MET;1;;;
MLH1;1;;;
MSH2;1;;;
MSH6;1;;;
MTOR;1;;;
MUTYH;1;;;
NF1;1;;;
NPM1;1;;;
NRAS;1;;;
NRG1;1;;;
NTRK1;1;;;
NTRK2;1;;;
NTRK3;1;;;
PALB2;1;;;
PDGFB;1;;;
PDGFRA;1;;;
PDGFRB;1;;;
PIK3CA;1;;;
PMS2;1;;;
POLD1;1;;;
POLE;1;;;
PTCH1;1;;;
PTEN;1;;;
RAD51B;1;;;
RAD51C;1;;;
RAD51D;1;;;
RAD54L;1;;;
RAF1;1;;;
RB1;1;;;
RET;1;;;
ROS1;1;;;
SDHA;1;;;
SDHAF2;1;;;
SDHB;1;;;
SDHC;1;;;
SDHD;1;;;
SF3B1;1;;;
SMAD3;1;;;
SMARCA4;1;;;
SMARCB1;1;;;
SMO;1;;;
SRSF2;1;;;
STK11;1;;;
SUFU;1;;;
TMEM127;1;;;
TP53;1;;;
TSC1;1;;;
TSC2;1;;;
U2AF1;1;;;
VHL;1;;;
ZRSR2;1;;;
ABL2;2;;;
ACVR1B;2;;;
AKT2;2;;;
AKT3;2;;;
AMER1;2;;;
AR;2;;;
ARID1B;2;;;
ARID2;2;;;
ARID5B;2;;;
ASXL1;2;;;
ASXL2;2;;;
ATR;2;;;
ATRX;2;;;
AURKA;2;;;
AURKB;2;;;
AXIN1;2;;;
AXIN2;2;;;
AXL;2;;;
B2M;2;;;
BCL2;2;;;
BCL2L1;2;;;
BCL6;2;;;
BCOR;2;;;
BCORL1;2;;;
BLM;2;;;
CALR;2;;;
CARD11;2;;;
CASP8;2;;;
CBFB;2;;;
CBL;2;;;
CCND1;2;;;
CCND2;2;;;
CCND3;2;;;
CD274;2;;;
CD276;2;;;
CD79A;2;;;
CD79B;2;;;
CDC73;2;;;
CDH1;2;;;
CDK6;2;;;
CDK8;2;;;
CDKN1A;2;;;
CDKN1B;2;;;
CDKN2B;2;;;
CDKN2C;2;;;
CEBPA;2;;;
CHD4;2;;;
CIC;2;;;
CREBBP;2;;;
CRKL;2;;;
CRLF2;2;;;
CSF1R;2;;;
CTCF;2;;;
CTLA4;2;;;
CTNNA1;2;;;
CTNNB1;2;;;
CUL3;2;;;
CUX1;2;;;
CYLD;2;;;
DAXX;2;;;
DDR2;2;;;
DIS3;2;;;
DNMT3A;2;;;
DOT1L;2;;;
EED;2;;;
EP300;2;;;
EPCAM;2;;;
EPHA3;2;;;
EPHA5;2;;;
EPHA7;2;;;
EPHB1;2;;;
ERBB3;2;;;
ERBB4;2;;;
ERCC1;2;;;
ERCC3;2;;;
ERCC4;2;;;
ERCC5;2;;;
ERG;2;;;
ERRFI1;2;;;
ETV6;2;;;
EWSR1;2;;;
FAM46C;2;;;
FANCA;2;;;
FANCC;2;;;
FANCD2;2;;;
FANCE;2;;;
FANCF;2;;;
FANCG;2;;;
FAS;2;;;
FAT1;2;;;
FBXW7;2;;;
FGF19;2;;;
FGF23;2;;;
FGF3;2;;;
FGF4;2;;;
FGFR4;2;;;
FLT1;2;;;
FLT4;2;;;
FOXA1;2;;;
FOXL2;2;;;
FOXP1;2;;;
FUBP1;2;;;
GABRA6;2;;;
GATA1;2;;;
GATA2;2;;;
GATA3;2;;;
GLI1;2;;;
GNA11;2;;;
GNA13;2;;;
GNAQ;2;;;
GNAS;2;;;
GRIN2A;2;;;
GSK3B;2;;;
HGF;2;;;
HIST1H3B;2;;;
HLA-A;2;;;
HLA-B;2;;;
HLA-C;2;;;
HNF1A;2;;;
HSP90AA1;2;;;
IGF1R;2;;;
IGF2;2;;;
IKBKE;2;;;
IKZF1;2;;;
IL7R;2;;;
INPP4B;2;;;
IRF4;2;;;
IRS2;2;;;
JAK1;2;;;
JAK3;2;;;
JUN;2;;;
KAT6A;2;;;
KDM5A;2;;;
KDM5C;2;;;
KDR;2;;;
KEAP1;2;;;
KEL;2;;;
KLF4;2;;;
KMT2C;2;;;
KMT2D;2;;;
LMO1;2;;;
LRP1B;2;;;
LZTR1;2;;;
MAP2K4;2;;;
MAP3K1;2;;;
MAPK1;2;;;
MCL1;2;;;
MDM4;2;;;
MED12;2;;;
MEF2B;2;;;
MEN1;2;;;
MITF;2;;;
MPL;2;;;
MRE11A;2;;;
MSH3;2;;;
MYB;2;;;
MYC;2;;;
MYCN;2;;;
MYD88;2;;;
NBN;2;;;
NCOR1;2;;;
NF2;2;;;
NFE2L2;2;;;
NFKBIA;2;;;
NKX2-1;2;;;
NOTCH1;2;;;
NOTCH2;2;;;
NOTCH3;2;;;
NOTCH4;2;;;
NSD1;2;;;
NUP93;2;;;
PARK2;2;;;
PARP1;2;;;
PAX5;2;;;
PBRM1;2;;;
PDCD1LG2;2;;;
PDK1;2;;;
PHF6;2;;;
PIK3C2B;2;;;
PIK3CB;2;;;
PIK3CD;2;;;
PIK3CG;2;;;
PIK3R1;2;;;
PIK3R2;2;;;
PIM1;2;;;
PLCG2;2;;;
PMS1;2;;;
PPP2R1A;2;;;
PRDM1;2;;;
PRKAR1A;2;;;
PRKDC;2;;;
PTPN11;2;;;
PTPRD;2;;;
QKI;2;;;
RAC1;2;;;
RAD21;2;;;
RAD50;2;;;
RAD51;2;;;
RARA;2;;;
RASA1;2;;;
RBM10;2;;;
REL;2;;;
RHEB;2;;;
RHOA;2;;;
RICTOR;2;;;
RIT1;2;;;
RNF43;2;;;
RPTOR;2;;;
RUNX1;2;;;
RUNX1T1;2;;;
SETD2;2;;;
SMAD2;2;;;
SMAD4;2;;;
SMC1A;2;;;
SMC3;2;;;
SOCS1;2;;;
SOX10;2;;;
SOX17;2;;;
SOX2;2;;;
SOX9;2;;;
SPEN;2;;;
SPOP;2;;;
SRC;2;;;
STAG2;2;;;
STAT3;2;;;
SUZ12;2;;;
SYK;2;;;
TBX3;2;;;
TCF7L2;2;;;
TERT;2;;;
TET2;2;;;
TGFBR2;2;;;
TNFAIP3;2;;;
TNFRSF14;2;;;
TOP1;2;;;
TOP2A;2;;;
TP63;2;;;
TSHR;2;;;
VTCN1;2;;;
WT1;2;;;
XPO1;2;;;
XRCC2;2;;;
YES1;2;;;
ZFHX3;2;;;
ZNF217;2;;;
A1CF;3;;;
ABI1;3;;;
ACKR3;3;;;
ACSL3;3;;;
ACSL6;3;;;
ACVR1;3;;;
ACVR2A;3;;;
AFDN;3;;;
AFF1;3;;;
AFF3;3;;;
AFF4;3;;;
AKAP9;3;;;
ALDH2;3;;;
ANK1;3;;;
APOBEC3B;3;;;
ARHGAP26;3;;;
ARHGAP35;3;;;
ARHGAP5;3;;;
ARHGEF10;3;;;
ARHGEF10L;3;;;
ARHGEF12;3;;;
ARNT;3;;;
ASPSCR1;3;;;
ATF1;3;;;
ATIC;3;;;
ATP1A1;3;;;
ATP2B3;3;;;
