""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML11_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML12_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML13_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML14_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy1_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy2_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy3_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.Kontrolle.karyotype_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.WholeGenomeHealthy_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.62720_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63120_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63220_S9_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63320_S1_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63420_S1_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63520_S2_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63620_S3_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63720_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63820_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.64820_S7_L001.bam"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	342.763064088489	279.07742183099	252.080750670448	253.18184619536	308.432985014223	321.512479811277	287.172282709749	305.60556613827	283.726706077619	254.90362682109	300.049179183647	307.390773033929	293.550184945776	274.409218640967	296.240456894432	294.707677262461	302.458377988939	302.490514204271	253.614442316683	290.17723967519	24.6158068638273
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	381.814097718484	335.468323561787	335.947004239584	318.142977784959	353.010786796138	346.039626708645	364.440220647481	321.703959518611	389.420932279338	325.54260032871	340.430129323336	323.550334700432	328.354887061031	348.590863084573	311.08474994143	332.183480512965	381.548617789928	327.518643938254	309.051678416887	340.728627071188	23.8741426222048
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	422.013691161127	331.440402009588	365.348391985085	366.447408966968	406.153305124115	360.371754714938	399.148813090098	405.626731566944	333.961604462466	447.212576050019	378.939114887012	375.620033403609	315.99005867798	392.28259434585	338.191719853338	375.012969942111	385.564919029822	346.357021157381	328.694793570503	372.33567915784	34.9376081402994
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	377.219858467897	325.686228363588	309.919546235369	366.447408966968	380.149587417998	373.078589854538	409.891948846146	371.054772012442	358.476234874272	373.054223079387	363.428551257198	358.383167626006	345.29928151188	332.560083988709	311.730153986951	319.436608659052	396.378037752614	326.980404589136	324.76617053978	353.891624106838	29.1449681888271
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	377.876178360838	319.356637352988	347.032773389527	363.11606888545	386.856895556481	356.677907290635	383.860504514183	364.720977895586	291.764289819195	368.277922379583	378.136844354436	340.787200478036	331.560583308489	367.136274195475	342.064144126468	330.398918453417	389.581220269716	343.396704737233	351.393504414681	354.420818409601	25.3716490843924
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	379.18881814672	355.032513958187	341.730883796076	344.793698437102	365.806266937243	367.61169566657	365.679813234717	358.914999955136	321.503349663024	383.10959297371	342.302093899348	341.146301848402	344.8413249051	350.476837095851	327.219851079471	337.792104128686	400.70328524173	334.784875151346	354.012586435163	353.507941713346	19.977090425821
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	364.25754058231	311.300794248588	341.248893833035	361.450398844691	368.282811480683	338.947439653984	356.176270065905	356.803735249517	268.455296968625	328.056442802291	364.498245300633	354.792153922339	324.691234206794	324.073200937958	309.471239827625	292.668177765835	332.11721791431	329.940721009285	345.282313033556	335.395480402524	26.6122435271186
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	354.084582241723	344.099584030787	323.897255163558	341.462358355584	378.704936434325	355.052614423942	385.926492159577	353.372930102887	291.764289819195	341.882576406985	367.439903920081	347.251025144637	363.159589176287	319.672594911642	330.124169284318	320.456358407365	357.141864101342	341.781986689879	331.313875590985	344.662578229742	22.3775362146348
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	349.654422964371	371.144200166986	355.226602761224	323.139987907236	349.399159336955	349.733474132947	333.863603495651	335.691088193333	291.362410632116	358.22255248526	334.279388573582	384.597567662778	332.934453128828	319.358265909762	331.414977375361	338.811853876999	325.629346680635	303.028753553389	374.96524259902	340.129334286128	23.433934124214
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	367.210980100545	296.915360133589	328.235164830928	313.145967662682	357.86068652704	361.849293684659	361.961035473008	360.762356572552	296.988719251219	353.194867538099	347.383140605666	352.278444329771	326.981017240692	336.646361013145	335.287401648491	330.143981016339	367.646036574911	319.445053701485	328.694793570503	339.085824288175	22.3534819546939
