""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	2.92391304347826	3.32380952380952	3.83508245877061	3.19159579789895	2.36431924882629	2.24042553191489	2.31410526315789	2.19417475728155	1.82322097378277	1.80994803266518	2.04686035613871	2.55158681706588	0.666577252122583
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	7.08423913043478	8.82857142857143	9.2623688155922	8.47823911955978	3.84413145539906	4.4468085106383	5.16547368421053	4.1747572815534	2.8	2.73496659242762	3.09278350515464	5.44657632032198	2.51062788595457
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	9.5054347826087	9.92380952380952	10.623688155922	11.8979489744872	4.7830985915493	4.88085106382979	4.93978947368421	4.57281553398058	3.03820224719101	3.19970304380104	3.61199625117151	6.45248524018499	3.31371683702652
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	7.46195652173913	7.6	8.71964017991004	9.14457228614307	3.93990610328638	4.31489361702128	5.03242105263158	3.94174757281553	2.86292134831461	2.62063845582777	3.20524835988753	5.34944959068881	2.42187708933477
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	4.22826086956522	4.14603174603175	4.02098950524738	4.87843921960981	2.89953051643192	3.44468085106383	2.81263157894737	3.10485436893204	2.51385767790262	2.42464736451373	2.71415182755389	3.38073413870905	0.818622892457613
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	4.04891304347826	3.93968253968254	3.98500749625187	4.46223111555778	2.98215962441315	3.18085106382979	2.77052631578947	3.01553398058252	2.59026217228464	2.38010393466964	2.77225866916589	3.28432090506414	0.699450248348642
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	5.625	6.25396825396825	6.50074962518741	6.27713856928464	3.46103286384977	4.1936170212766	4.60294736842105	3.64466019417476	2.66966292134831	2.8181143281366	2.83411433926898	4.44372777135603	1.49459003894895
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	4.57065217391304	4.71746031746032	4.95352323838081	4.93846923461731	3.32957746478873	3.65106382978723	3.648	3.12815533980583	2.71011235955056	2.44840386043059	2.88472352389878	3.72546739478484	0.925830269442273
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	3.91032608695652	3.7015873015873	4.8095952023988	3.83391695847924	3.2131455399061	3.52127659574468	3.72547368421053	3.46990291262136	2.50187265917603	2.55679287305122	2.6991565135895	3.44936784797466	0.6833063630901
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	5.48641304347826	5.82222222222222	6.8575712143928	5.80890445222611	3.78028169014084	4.35957446808511	4.83368421052632	3.92815533980583	2.91835205992509	2.97847067557535	2.71040299906279	4.49854839776734	1.37797011488391
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	5.04076086956522	5.06666666666667	6.3928035982009	5.25262631315658	3.46103286384977	3.71276595744681	4.40252631578947	3.48155339805825	2.52434456928839	2.61172976985895	2.75164011246485	4.06349549403144	1.26246794509393
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	5.45923913043478	5.57777777777778	5.76011994002998	5.71485742871436	3.39154929577465	4.02340425531915	4.03705263157895	3.82330097087379	2.70561797752809	2.75723830734967	2.91471415182755	4.19680653338261	1.22607263702637
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	4.26358695652174	4.12380952380952	4.25187406296852	4.29814907453727	3.2093896713615	3.40851063829787	3.33473684210526	3.04854368932039	2.57228464419476	2.59391239792131	2.59231490159325	3.42701021842104	0.703238897081478
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	3.87771739130435	3.81269841269841	4.023988005997	3.76788394197099	3.09483568075117	3.24893617021277	3.11410526315789	3.20970873786408	2.5063670411985	2.38752783964365	2.47610121836926	3.22907906392437	0.59270909294287
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	3.32336956521739	3.35873015873016	3.1904047976012	3.55977988994497	2.90328638497653	3.35744680851064	2.33768421052632	2.85242718446602	2.58426966292135	2.34595397178916	2.69165885660731	2.95500104466282	0.43056156526596
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	4.6304347826087	5.09523809523809	5.88005997001499	5.18259129564782	3.53051643192488	3.92127659574468	4.35031578947368	3.70291262135922	2.63370786516854	2.7290274684484	2.8622305529522	4.04711922441648	1.08258757962769
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	6.32608695652174	7.34285714285714	7.18140929535232	7.55577788894447	4.65727699530516	4.88297872340426	4.66694736842105	4.5495145631068	3.3123595505618	3.29918337045286	3.47516401124649	5.2045050787431	1.63061443167634
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	5.42663043478261	5.95873015873016	5.93703148425787	6.08704352176088	3.40281690140845	4.12127659574468	3.82315789473684	3.70679611650485	2.72059925093633	2.74090571640683	2.92221180880975	4.25883635309811	1.34592609085793
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	5.22826086956522	4.8952380952381	4.56071964017991	5.67483741870935	3.14929577464789	3.61702127659574	2.97768421052632	3.13398058252427	2.59026217228464	2.52858203414996	2.89784442361762	3.750338772549	1.13033592199755
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	4.53260869565217	4.61269841269841	5.07946026986507	4.59029514757379	3.23568075117371	3.9063829787234	3.43410526315789	3.33980582524272	2.71760299625468	2.67557535263549	2.70103092783505	3.71138605643749	0.877010874792259
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	4.13858695652174	4.04126984126984	4.3328335832084	4.29614807403702	3.24882629107981	3.44893617021277	3.06189473684211	3.25242718446602	2.46591760299625	2.65181885671863	2.55670103092783	3.40866912075277	0.702420822491959
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	5.0570652173913	5.48253968253968	6.02698650674663	5.38669334667334	3.47417840375587	3.96170212765957	4.16	3.47766990291262	2.72659176029963	2.72308834446919	2.75913776944705	4.1123320965359	1.20732327178501
