""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	1.50111028867506	1.76	1.80400421496312	1.7277628032345	1.64561734213007	1.77049180327869	1.76085300837776	1.80961182994455	1.80562248995984	1.73167486450706	0.100321741134958
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1.91709844559585	1.99686274509804	1.89884088514225	1.93261455525606	2.09048067860509	1.85920925747348	1.98476770753998	2.28280961182994	1.95502008032129	1.990855996318	0.128037708496539
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2.63360473723168	2.22274509803922	2.20442571127503	1.85983827493261	2.35249764373233	2.02121504339441	2.24067022086824	2.30683918669131	2.06746987951807	2.21214508840921	0.220449815368808
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2.19689119170984	2.13176470588235	2.10326659641728	2.03234501347709	1.99434495758718	1.86306653809065	1.90860624523991	2.37153419593346	1.95180722891566	2.06151407480594	0.158618334834589
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	2.16876387860844	2.21803921568627	2	1.95148247978437	2.20169651272385	2.0443587270974	1.97410510281797	2.33086876155268	2.04979919678715	2.10434598611757	0.130219696899639
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	2.25610658771281	2.0078431372549	2.00210748155954	2.02964959568733	2.10179076343073	1.9556412729026	2.01827875095202	2.39741219963031	1.99839357429719	2.08524704038083	0.146515495757297
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1.9319022945966	2.13803921568627	2.08219178082192	1.91105121293801	1.94344957587182	1.84956605593057	1.74866717440975	1.98706099815157	1.96947791164659	1.95126735778368	0.115694204267835
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	2.01332346410067	2.15529411764706	2.03793466807165	2.13746630727763	1.91705937794533	1.97299903567985	1.91469916222391	2.13678373382625	2.04016064257028	2.03619116770474	0.0922284497922316
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	2.10954848260548	1.96078431372549	2.25711275026344	1.95956873315364	1.91517436380773	1.98071359691418	2.02437166793602	1.94824399260628	1.80883534136546	1.99603924915308	0.126749333806003
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2.079940784604	2.03764705882353	2.06743940990516	1.92452830188679	2.01885014137606	2.00385728061717	1.97258187357197	2.1996303142329	1.90682730923695	2.02347805269495	0.088562325120312
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	2.14359733530718	2.0878431372549	2.19388830347734	2.00808625336927	2.01696512723845	1.8129218900675	2.04874333587205	1.86506469500924	1.89397590361446	2.00789844235671	0.128716645078156
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	2.18356772760918	2.1443137254902	1.91991570073762	1.87601078167116	2.01319509896324	1.88621022179364	1.91012947448591	2.17929759704251	1.89076305220884	2.00037815333359	0.133035883749526
