""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	1.50111028867506	1.76	1.80400421496312	1.7277628032345	1.64561734213007	1.77049180327869	1.76085300837776	1.80961182994455	1.80562248995984	1.50518134715026	2.05206286836935	1.64406779661017	1.73219881605778	0.148365367320335
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1.91709844559585	1.99686274509804	1.89884088514225	1.93261455525606	2.09048067860509	1.85920925747348	1.98476770753998	2.28280961182994	1.95502008032129	1.83419689119171	2.28585461689587	1.97627118644068	2.00116888844919	0.148217269110408
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2.63360473723168	2.22274509803922	2.20442571127503	1.85983827493261	2.35249764373233	2.02121504339441	2.24067022086824	2.30683918669131	2.06746987951807	1.95077720207254	2.52652259332024	1.95254237288136	2.19492899699642	0.237365885700526
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2.19689119170984	2.13176470588235	2.10326659641728	2.03234501347709	1.99434495758718	1.86306653809065	1.90860624523991	2.37153419593346	1.95180722891566	1.92746113989637	2.25834970530452	1.91864406779661	2.05484013218758	0.158936809838831
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	2.16876387860844	2.21803921568627	2	1.95148247978437	2.20169651272385	2.0443587270974	1.97410510281797	2.33086876155268	2.04979919678715	2.08549222797927	2.262278978389	1.88135593220339	2.09735341780248	0.138200599240172
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	2.25610658771281	2.0078431372549	2.00210748155954	2.02964959568733	2.10179076343073	1.9556412729026	2.01827875095202	2.39741219963031	1.99839357429719	2.10103626943005	2.27013752455796	2.09152542372881	2.10249354842869	0.13572640544613
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1.9319022945966	2.13803921568627	2.08219178082192	1.91105121293801	1.94344957587182	1.84956605593057	1.74866717440975	1.98706099815157	1.96947791164659	2.04922279792746	2.18074656188605	1.83389830508475	1.96877282374595	0.127719637219872
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	2.01332346410067	2.15529411764706	2.03793466807165	2.13746630727763	1.91705937794533	1.97299903567985	1.91469916222391	2.13678373382625	2.04016064257028	1.96632124352332	2.11984282907662	2.0271186440678	2.03658360216753	0.0852848515758546
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	2.10954848260548	1.96078431372549	2.25711275026344	1.95956873315364	1.91517436380773	1.98071359691418	2.02437166793602	1.94824399260628	1.80883534136546	2.22538860103627	2.09332023575638	2.1864406779661	2.03912522976137	0.136369734018879
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2.079940784604	2.03764705882353	2.06743940990516	1.92452830188679	2.01885014137606	2.00385728061717	1.97258187357197	2.1996303142329	1.90682730923695	1.95077720207254	2.19842829076621	1.74915254237288	2.00913837578885	0.124836712452833
