""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X15644_S1_L001.bam"	"X15645_S2_L001.bam"	"X15646_S3_L001.bam"	"X15647_S4_L001.bam"	"X15650_S7_L001.bam"	"X15651_S1_L001.bam"	"X15652_S2_L001.bam"	"X15653_S3_L001.bam"	"X15654_S8_L001.bam"	"X15655_S9_L001.bam"	"X15656_S10_L001.bam"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	401.539433523393	451.64994584083	484.409696223233	427.873762485799	380.197708848279	337.973704811263	302.352473887991	341.991881778551	312.798067386008	299.788131685441	352.103593262311	372.061672703009	62.5028105808322
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	972.874817096176	1199.65472720473	1169.93084568692	1136.61512956259	618.161008746963	670.812006700417	674.901773955217	650.692518428217	480.377640052957	453.002246566516	532.024660149096	778.095215831799	285.755855117608
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	1305.37633686322	1348.47920792592	1341.87924450267	1595.0704650411	769.152950307042	736.2883939573	645.414705905005	712.73529344114	521.244437681861	529.978198344648	621.34031521655	920.632686289678	392.554240789175
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	1024.74654689148	1032.71248361313	1101.37873074055	1225.94551383078	633.562186786091	650.912320377247	657.517606970391	614.374796469433	491.172643200215	434.065670569979	551.371011427245	765.250864625141	275.577135857835
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	580.664831377694	563.376150208333	507.891636149613	654.016446984563	466.263115537524	519.638583180849	367.488086894429	483.9336451008	431.286078121382	401.602968861629	466.891944179328	494.823044236013	82.9777042781523
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	556.035089172728	535.336755289848	503.346744550959	598.218489243468	479.550406394811	479.839210534509	361.986768228344	470.011851683266	444.394296228766	394.225082109731	476.887559006371	481.802932040255	67.8161637701552
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	772.478278246676	849.80935368332	821.110415490203	841.529776124107	556.556296590451	632.617447467235	601.404156576331	568.069700971983	458.016562105067	466.774301836725	487.528052209353	641.444940118314	153.302477408623
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	627.685248314449	641.023705367215	625.680076748069	662.064229351067	535.41742477204	550.771963396132	476.63424922954	487.565417296678	464.956206985447	405.537841795974	496.23391028452	543.051843049194	85.1830644809925
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	537.003015650708	502.98360730698	607.500510353452	513.985033807392	516.69442401859	531.193239755593	486.756675575135	540.831409502895	429.229887045713	423.490699558925	464.312430675575	504.907357568269	53.0048662150303
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	753.446204724656	791.14231200772	866.180590510191	778.757073665376	607.893556720878	657.652536712514	631.551382866473	612.256262688504	500.68252692518	493.334694143556	466.247065803389	650.831291524403	133.464759939087
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	692.245027124437	688.47498907542	807.47574069424	704.180957069105	556.556296590451	560.079881192453	575.21787972577	542.647295600834	433.085245312591	432.590093219599	473.340727938711	587.808557594874	121.620524758305
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	749.714425602692	757.926413411976	727.561396751236	766.148881291186	545.382892915005	606.940432856693	527.466433704159	595.913287807051	464.185135332071	456.691189942465	501.392937292027	609.029402446051	121.388283437807
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	585.516144236248	560.356523063265	537.054690574311	576.22121744169	516.09045625235	514.182217576109	435.704438353873	475.156862294094	441.310009615264	429.63893851884	445.933396961333	501.560444989762	58.8569370027468
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	532.524880704351	518.081743032318	508.270377116168	505.132473204238	497.66943938202	490.110016378726	406.877528543592	500.276619982253	430.000958699089	395.454729901714	425.942167307246	473.667357659247	48.9298748203528
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	456.396586616273	456.395074211651	402.980388414011	477.233494333691	466.867083303764	506.479113192946	305.433212340998	444.589446312117	443.366200690932	388.56870226661	463.022673923698	437.393815964245	54.4764777941364
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	635.895162382771	692.357366833364	742.711035413417	694.791877641517	567.729700265897	591.534224090368	568.396244579826	577.149131461679	451.847988878062	452.01852833293	492.364640028891	587.890536355338	97.7876073987438
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	868.758179593363	997.771083791634	907.084614898079	1012.94754053064	748.920030137991	736.609356639932	609.766160948779	709.103521245262	568.279808537768	546.45547875722	597.802254494802	754.863457234134	169.760447754305
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	745.236290656334	809.691450184564	749.907113777953	816.045131963511	547.194796213726	621.704716257755	499.519734880451	577.754426827659	466.755374176656	453.985964800102	502.682694043903	617.316153980238	139.035572936877
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	717.994303065992	665.180722527756	576.065010129427	760.78369304685	506.426971992505	545.636560474023	389.053256065479	488.473360345648	444.394296228766	418.81803794939	498.490984600304	546.483381493285	122.099665313895
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	622.460757543698	626.788320254753	641.587197343359	615.387091625343	520.318230616032	589.287485311945	448.687550405832	520.554014742574	466.241326407739	443.165064230652	464.634869863544	541.737446213225	78.9505813825035
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	568.349960275211	549.140765095871	547.280696671284	575.952958029474	522.432117797873	520.280508546113	400.055893397647	506.93486900803	423.061313818709	439.230191296307	439.807052389919	499.320575120585	62.6681003276859
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	694.484094597615	744.985154218829	761.269342774588	722.154337687631	558.670183772292	597.632515060371	543.530284209125	542.042000234855	467.78346971449	451.034810099343	474.630484690587	596.201516096339	115.917979716453
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	687.766892178079	691.494616220488	647.647052808232	774.19666365769	517.902359551071	591.855186772999	491.817888747933	535.383751209078	470.867756327992	431.360445427616	486.238295457477	575.13917348715	110.739105234736
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	587.382033797231	575.023283482165	679.840034965366	602.24238042672	521.828150031633	562.647582653508	508.321844746186	535.989046575057	449.277750033477	417.588390157407	424.974849743338	533.192304237463	80.4362364417794
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	576.186696431337	606.945056158594	608.257992286561	621.55705810633	541.457102434443	551.092926078764	483.675937122128	537.199637307017	464.44215921653	438.738332179514	444.321201021487	533.988554394791	67.1766894198635
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	657.912659202362	611.258809222977	622.650149015633	624.239652228498	521.224182265393	573.560313862988	459.910240484644	538.107580355986	419.720003320749	461.855710668793	489.785126525137	543.656766104833	79.8458551297388
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	665.003039534095	664.317971914879	829.442716754402	686.475835862796	590.982459266149	624.914343084073	585.120253324722	590.465629513234	433.085245312591	432.836022777996	506.874403487502	600.865265530222	115.744136155423
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	717.994303065992	747.14203075102	810.505668426676	741.737274779457	597.928088577913	620.420865527228	571.036877539546	571.096177801882	477.807401208372	478.332991081365	441.419248329765	615.947357008111	124.159320691338
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	605.294573582661	584.513540223806	765.814234373242	568.441694487403	552.328522226769	644.172104041979	611.526582921926	580.780903657558	488.345380471171	454.477823916895	470.761214434958	575.132415848943	87.765532865639
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	592.979702480178	587.101792062435	590.457166858499	645.163886381408	555.34836105797	526.057836833485	424.041642781775	468.498613268317	427.687743738962	438.98426173791	473.66316712668	520.907652211602	77.9927200992363
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	654.180880080397	694.514243365556	573.035082396991	680.30586938181	484.986116290974	513.219329528214	387.512886838975	499.671324616273	477.036329554997	410.702362522303	459.475842856037	530.421842493866	106.051271800207
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	625.819358753466	670.357226205015	686.278631396793	671.453308778655	520.620214499152	604.693694078271	506.561422773039	551.72672609053	466.755374176656	448.329584956981	465.602187427451	565.290702648728	90.0662769969012
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	578.798941816712	620.749065964618	735.514957048881	636.043066366037	552.630506109889	645.776917455138	580.499145645211	566.556462557034	453.647156069272	476.857413730985	473.985606314649	574.64174900713	84.7177623239756
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	528.046745757993	490.042348113833	421.538695775182	512.107217921875	479.248422511691	487.863277600303	318.416324392957	449.129161556965	421.776194396417	410.948292080699	438.839734826012	450.723310448539	58.6571157088642
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	476.921371787078	432.23805705111	336.321978300415	466.771377257235	442.406388771031	405.696830846568	286.728728876312	418.561745574988	420.234051089666	394.716941226525	434.648025382413	410.476863287576	55.5927817869277
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	462.740611123613	404.198662132625	488.197105888778	393.536557722048	476.228583680489	508.083926606105	457.70971301821	465.169488755428	422.290242165334	407.99713737994	395.310444450177	443.76931572025	40.4406257016756
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	669.481174480452	652.670838641047	716.956649687709	672.258087015306	517.600375667951	595.706738964581	492.91815248115	504.816335227101	474.209066825953	457.183049059258	477.854876570279	566.514122238253	96.250532259255
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	577.306230167926	550.434891015186	557.88544373481	593.389819823566	512.466649654908	520.280508546113	436.584649340447	518.435480961645	464.185135332071	412.669798989475	466.891944179328	510.048231976861	58.6644524487265
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	482.519040470025	445.610691550695	516.223937413813	537.055343258037	480.154374161051	494.603493935571	364.847453934708	444.892093995107	456.217394913857	437.754613945927	467.536822555266	466.128660012187	45.6634171611874
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	548.198353016602	537.493631822039	627.573781580842	547.517460334493	519.714262849792	547.241373887182	442.526073499818	539.015523404956	456.474418798316	400.373321069646	469.149018495112	512.297928978072	63.8872445088773
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	526.927212021404	512.90523935506	582.1248655943	514.789812044043	486.194051823454	535.044791947175	447.807339419259	531.751979013199	460.072753180735	417.834319715804	474.630484690587	499.098440800456	46.8891364176553
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	545.212929719031	549.140765095871	485.167178156342	589.365928640314	479.852390277931	453.520270558703	358.46592428205	436.72060655438	412.52333455591	432.098234102806	466.891944179328	473.541773283879	67.0270975524277
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	388.851384508713	412.826168261389	420.402472875519	402.120858912986	440.896469355431	439.076949840273	359.126082521981	440.957674116238	393.246543221522	368.40247847809	421.750457863647	407.968867268708	28.4180615739945
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	636.641518207164	612.121559835853	593.86583555749	654.28470639678	510.352762473067	610.791985048274	425.141906514992	509.658698154939	440.281914077429	438.246473062721	512.678308870947	540.369606199969	84.5869457315837
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	612.011776002197	593.572421659009	674.158920467048	610.558422205441	547.194796213726	559.758918509822	460.570398724574	565.043224142085	486.032165511044	438.492402621117	476.887559006371	547.661909551131	74.1383557771638
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	451.172095845522	469.336333404798	549.174401504056	424.386390126981	485.590084057214	482.406911995563	466.731875630589	490.591894126577	418.691907782915	434.803459245168	385.314829623133	459.836380303865	44.0935490580903
