# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genome/bins.gtf" "-o" "output/98217.new.report/patient.fc.tsv" "-T" "8" "output/98217.new.report/patient.bam" 
Geneid	Chr	Start	End	Strand	Length	output/98217.new.report/patient.bam
chr1-0	chr1	1	1000000	.	1000000	577
chr1-1	chr1	1000001	2000000	.	1000000	581
chr1-2	chr1	2000001	3000000	.	1000000	659
chr1-3	chr1	3000001	4000000	.	1000000	631
chr1-4	chr1	4000001	5000000	.	1000000	615
chr1-5	chr1	5000001	6000000	.	1000000	560
chr1-6	chr1	6000001	7000000	.	1000000	598
chr1-7	chr1	7000001	8000000	.	1000000	539
chr1-8	chr1	8000001	9000000	.	1000000	648
chr1-9	chr1	9000001	10000000	.	1000000	629
chr1-10	chr1	10000001	11000000	.	1000000	595
chr1-11	chr1	11000001	12000000	.	1000000	602
chr1-12	chr1	12000001	13000000	.	1000000	583
chr1-13	chr1	13000001	14000000	.	1000000	587
chr1-14	chr1	14000001	15000000	.	1000000	654
chr1-15	chr1	15000001	16000000	.	1000000	579
chr1-16	chr1	16000001	17000000	.	1000000	731
chr1-17	chr1	17000001	18000000	.	1000000	594
chr1-18	chr1	18000001	19000000	.	1000000	625
chr1-19	chr1	19000001	20000000	.	1000000	559
chr1-20	chr1	20000001	21000000	.	1000000	565
chr1-21	chr1	21000001	22000000	.	1000000	619
chr1-22	chr1	22000001	23000000	.	1000000	540
chr1-23	chr1	23000001	24000000	.	1000000	610
chr1-24	chr1	24000001	25000000	.	1000000	550
chr1-25	chr1	25000001	26000000	.	1000000	600
chr1-26	chr1	26000001	27000000	.	1000000	559
chr1-27	chr1	27000001	28000000	.	1000000	528
chr1-28	chr1	28000001	29000000	.	1000000	550
chr1-29	chr1	29000001	30000000	.	1000000	558
chr1-30	chr1	30000001	31000000	.	1000000	522
chr1-31	chr1	31000001	32000000	.	1000000	596
chr1-32	chr1	32000001	33000000	.	1000000	593
chr1-33	chr1	33000001	34000000	.	1000000	576
chr1-34	chr1	34000001	35000000	.	1000000	627
chr1-35	chr1	35000001	36000000	.	1000000	519
chr1-36	chr1	36000001	37000000	.	1000000	597
chr1-37	chr1	37000001	38000000	.	1000000	551
chr1-38	chr1	38000001	39000000	.	1000000	603
chr1-39	chr1	39000001	40000000	.	1000000	596
