""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"15650_S7_L001.bam"	"15654_S8_L001.bam"	"15655_S9_L001.bam"	"15656_S10_L001.bam"	"182533_S1_L001.bam"	"182534_S5_L001.bam"	"182535_S2_L001.bam"	"182536_S3_L001.bam"	"182538_S6_L001.bam"	"182539_S7_L001.bam"	"182540_S8_L001.bam"	"182541_S9_L001.bam"	"182542_S10_L001.bam"	"gc"	"ploidy"	"gender"	"bin"	"sum"	"mean"	"norm.median"	"norm.sd"	"nnorm.var"	"gc_blocked"	"norm.clean.mean"	"norm.clean.median"	"norm.clean.var"	"norm.clean.sd"	"var_blocked"	"blocked"
"1"	"chr1-0"	"chr1"	1	1000000	"."	1000000	1259	1217	1219	1092	849	729	1129	843	1326	820	599	1174	880	0.383494	2	"neutral"	1	13136	1010.46153846154	0.961779806046777	0.101236154536179	0.0110794951518173	FALSE	0.970274345229254	0.961779806046777	0.0102487589852731	0.101236154536179	FALSE	FALSE
"2"	"chr1-1"	"chr1"	1000001	2000000	"."	1000000	2047	1869	1842	1650	1130	881	1867	1450	1854	1315	1043	1552	1126	0.572853	2	"neutral"	2	19626	1509.69230769231	1.41476754785779	0.226721611431872	0.025681220554882	FALSE	1.44214601973918	1.41476754785779	0.0151665491073322	0.123152544055461	FALSE	FALSE
"3"	"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2547	2028	2155	1927	1290	973	2126	1597	2337	1514	1324	2069	1358	0.558315	2	"neutral"	3	23245	1788.07692307692	1.7940379403794	0.297996657767846	0.0275904980258583	FALSE	1.77004228383725	1.80599812558575	0.0173675694600825	0.131786074606092	FALSE	FALSE
"4"	"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2098	1911	1765	1710	1203	905	1853	1453	1999	1322	1113	1815	1194	0.564709	2	"neutral"	4	20341	1564.69230769231	1.53097857556456	0.224938100938745	0.0215867778395824	FALSE	1.52064026447466	1.5427054619658	0.0206534234292604	0.143712989772186	FALSE	FALSE
"5"	"chr1-4"	"chr1"	4000001	5000000	"."	1000000	1544	1678	1633	1448	1112	849	1749	1325	1667	1155	1166	1555	1216	0.478991	2	"neutral"	5	18097	1392.07692307692	1.33757961783439	0.1531889715687	0.0131164321324784	FALSE	1.32687773831454	1.31692355697318	0.0197904225347511	0.140678436637429	FALSE	FALSE
"6"	"chr1-5"	"chr1"	5000001	6000000	"."	1000000	1588	1729	1603	1479	1042	867	1670	1369	1703	1129	1018	1562	1216	0.472349	2	"neutral"	6	17975	1382.69230769231	1.32426127527216	0.144673746170486	0.0119352658108226	FALSE	1.33321816401602	1.32426127527216	0.0209304928310021	0.144673746170486	FALSE	FALSE
"7"	"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1843	1782	1898	1512	1166	881	1727	1528	1802	1265	1142	1665	1284	0.516295	2	"neutral"	7	19495	1499.61538461538	1.41705716963449	0.174702903529252	0.0151993670315022	FALSE	1.39378797149235	1.4090571640683	0.0166935276276292	0.12920343504578	FALSE	FALSE
"8"	"chr1-7"	"chr1"	7000001	8000000	"."	1000000	1773	1809	1649	1539	1176	842	1651	1407	1631	1165	1121	1515	1173	0.477805	2	"neutral"	8	18451	1419.30769230769	1.35505617977528	0.169200847360912	0.0155915921201166	FALSE	1.34476934029905	1.35210828676083	0.0143192411308104	0.119663031596272	FALSE	FALSE
"9"	"chr1-8"	"chr1"	8000001	9000000	"."	1000000	1711	1670	1722	1440	1131	894	1449	1228	1660	1114	1039	1387	1202	0.445511	2	"neutral"	9	17647	1357.46153846154	1.29009843659525	0.116198873321509	0.00811256400683608	FALSE	1.28523682582043	1.28424743656043	0.0060647435331897	0.0778764632812103	FALSE	FALSE
"10"	"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2013	1948	2006	1446	1160	885	1701	1419	1804	1222	1029	1653	1310	0.501479	2	"neutral"	10	19596	1507.38461538462	1.4151708164447	0.181539697159249	0.0164560457184336	FALSE	1.40676647632694	1.40898509718036	0.0163456633025939	0.127850159572031	FALSE	FALSE
"11"	"chr1-10"	"chr1"	10000001	11000000	"."	1000000	1843	1685	1759	1468	1151	847	1622	1381	1707	1263	1149	1550	1268	0.480842	2	"neutral"	11	18693	1437.92307692308	1.37582005623243	0.166200483990835	0.0145928895696244	FALSE	1.3620926342596	1.35159587570564	0.0187433049011022	0.136906190148957	FALSE	FALSE
"12"	"chr1-11"	"chr1"	11000001	12000000	"."	1000000	1806	1806	1857	1555	1077	894	1820	1397	1833	1194	1120	1626	1247	0.500389	2	"neutral"	12	19232	1479.38461538462	1.4253499222395	0.171426298474324	0.0144647823319082	FALSE	1.4481618318866	1.44135349907664	0.0148230408214353	0.121749910970954	FALSE	FALSE
"13"	"chr1-12"	"chr1"	12000001	13000000	"."	1000000	1709	1717	1747	1383	1184	802	1558	1230	1646	1094	1054	1538	1221	0.444586	2	"neutral"	13	17883	1375.61538461538	1.29615745079663	0.128270211140963	0.00979345873745851	FALSE	1.29960743662018	1.291149886447	0.0101382285981291	0.100688770963445	FALSE	FALSE
"14"	"chr1-13"	"chr1"	13000001	14000000	"."	1000000	1648	1673	1608	1321	1045	801	1636	1234	1580	1207	979	1552	1139	0.450033	2	"neutral"	14	17423	1340.23076923077	1.25318352059925	0.151659102767927	0.0146456150266422	FALSE	1.27008870554988	1.24561706489194	0.018637328883161	0.136518602700002	FALSE	FALSE
"15"	"chr1-14"	"chr1"	14000001	15000000	"."	1000000	1546	1725	1580	1436	1150	789	1600	1248	1567	1117	975	1453	1197	0.449915	2	"neutral"	15	17383	1337.15384615385	1.29357266936885	0.116900436309522	0.00816677520871669	FALSE	1.28779375253911	1.29357266936885	0.0136657120093565	0.116900436309522	FALSE	FALSE
