""	"id"	"symbol"	"chr"	"start"	"end"
"1"	"ENSG00000223972"	"DDX11L1"	"chr1"	11869	14409
"2"	"ENSG00000227232"	"WASH7P"	"chr1"	14404	29570
"3"	"ENSG00000278267"	"MIR6859-1"	"chr1"	17369	17436
"4"	"ENSG00000243485"	"MIR1302-2HG"	"chr1"	29554	31109
"5"	"ENSG00000284332"	"MIR1302-2"	"chr1"	30366	30503
"6"	"ENSG00000237613"	"FAM138A"	"chr1"	34554	36081
"7"	"ENSG00000268020"	"OR4G4P"	"chr1"	52473	53312
"8"	"ENSG00000240361"	"OR4G11P"	"chr1"	57598	64116
"9"	"ENSG00000186092"	"OR4F5"	"chr1"	65419	71585
"10"	"ENSG00000238009"	"AL627309.1"	"chr1"	89295	133723
"11"	"ENSG00000239945"	"AL627309.3"	"chr1"	89551	91105
"12"	"ENSG00000233750"	"CICP27"	"chr1"	131025	134836
"13"	"ENSG00000268903"	"AL627309.6"	"chr1"	135141	135895
"14"	"ENSG00000269981"	"AL627309.7"	"chr1"	137682	137965
"15"	"ENSG00000239906"	"AL627309.2"	"chr1"	139790	140339
"16"	"ENSG00000241860"	"AL627309.5"	"chr1"	141474	173862
"17"	"ENSG00000222623"	"RNU6-1100P"	"chr1"	157784	157887
"18"	"ENSG00000241599"	"AL627309.4"	"chr1"	160446	161525
"19"	"ENSG00000279928"	"FO538757.1"	"chr1"	182696	184174
"20"	"ENSG00000279457"	"WASH9P"	"chr1"	185217	195411
"21"	"ENSG00000273874"	"MIR6859-2"	"chr1"	187891	187958
"22"	"ENSG00000228463"	"AP006222.1"	"chr1"	257864	359681
"23"	"ENSG00000286448"	"AP006222.2"	"chr1"	266855	268655
"24"	"ENSG00000236679"	"RPL23AP24"	"chr1"	347982	348366
"25"	"ENSG00000236601"	"AL732372.1"	"chr1"	358857	366052
"26"	"ENSG00000237094"	"AL732372.2"	"chr1"	365389	522928
"27"	"ENSG00000269732"	"WBP1LP7"	"chr1"	439870	440232
"28"	"ENSG00000284733"	"OR4F29"	"chr1"	450703	451697
"29"	"ENSG00000233653"	"CICP7"	"chr1"	487101	489906
"30"	"ENSG00000250575"	"AL732372.3"	"chr1"	491225	493241
"31"	"ENSG00000278757"	"RF00026"	"chr1"	516376	516479
"32"	"ENSG00000230021"	"AL669831.3"	"chr1"	586071	827796
"33"	"ENSG00000235146"	"AC114498.1"	"chr1"	587629	594768
"34"	"ENSG00000225972"	"MTND1P23"	"chr1"	629062	629433
"35"	"ENSG00000225630"	"MTND2P28"	"chr1"	629640	630683
"36"	"ENSG00000237973"	"MTCO1P12"	"chr1"	631074	632616
"37"	"ENSG00000278791"	"AC114498.2"	"chr1"	632325	632413
"38"	"ENSG00000229344"	"MTCO2P12"	"chr1"	632757	633438
"39"	"ENSG00000240409"	"MTATP8P1"	"chr1"	633535	633741
"40"	"ENSG00000248527"	"MTATP6P1"	"chr1"	633696	634376
