# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genom/bins.gtf" "-o" "pon.marburg.6p.fc.tsv" "-T" "8" "/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam" 
Geneid	Chr	Start	End	Strand	Length	/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam
chr1-0	chr1	1	1000000	.	1000000	1014	1122	856	641	873	918
chr1-1	chr1	1000001	2000000	.	1000000	1295	1273	901	717	1109	964
chr1-2	chr1	2000001	3000000	.	1000000	1779	1417	1046	690	1248	1048
chr1-3	chr1	3000001	4000000	.	1000000	1484	1359	998	754	1058	966
chr1-4	chr1	4000001	5000000	.	1000000	1465	1414	949	724	1168	1060
chr1-5	chr1	5000001	6000000	.	1000000	1524	1280	950	753	1115	1014
chr1-6	chr1	6000001	7000000	.	1000000	1305	1363	988	709	1031	959
chr1-7	chr1	7000001	8000000	.	1000000	1360	1374	967	793	1017	1023
chr1-8	chr1	8000001	9000000	.	1000000	1425	1250	1071	727	1016	1027
chr1-9	chr1	9000001	10000000	.	1000000	1405	1299	981	714	1071	1039
chr1-10	chr1	10000001	11000000	.	1000000	1448	1331	1041	745	1070	940
chr1-11	chr1	11000001	12000000	.	1000000	1475	1367	911	696	1068	978
chr1-12	chr1	12000001	13000000	.	1000000	1431	1258	969	720	1023	944
chr1-13	chr1	13000001	14000000	.	1000000	1499	1372	1010	784	951	948
chr1-14	chr1	14000001	15000000	.	1000000	1363	1401	964	776	1159	996
chr1-15	chr1	15000001	16000000	.	1000000	1436	1270	961	762	1250	1037
chr1-16	chr1	16000001	17000000	.	1000000	1996	1606	1321	939	1296	1363
chr1-17	chr1	17000001	18000000	.	1000000	1530	1286	1003	778	1048	1078
chr1-18	chr1	18000001	19000000	.	1000000	1473	1326	957	875	1056	1021
chr1-19	chr1	19000001	20000000	.	1000000	1363	1428	983	781	1006	1015
chr1-20	chr1	20000001	21000000	.	1000000	1483	1354	936	743	1047	1046
chr1-21	chr1	21000001	22000000	.	1000000	1355	1335	981	712	1055	962
chr1-22	chr1	22000001	23000000	.	1000000	1353	1341	931	787	1123	1002
chr1-23	chr1	23000001	24000000	.	1000000	1342	1260	1039	734	1043	937
chr1-24	chr1	24000001	25000000	.	1000000	1330	1304	1038	769	1034	1009
chr1-25	chr1	25000001	26000000	.	1000000	1392	1308	910	708	978	974
chr1-26	chr1	26000001	27000000	.	1000000	1374	1345	990	680	1025	988
chr1-27	chr1	27000001	28000000	.	1000000	1369	1413	959	756	1097	968
chr1-28	chr1	28000001	29000000	.	1000000	1363	1224	1031	678	986	1009
chr1-29	chr1	29000001	30000000	.	1000000	1358	1330	1028	754	1082	1042
chr1-30	chr1	30000001	31000000	.	1000000	1401	1285	1001	768	1002	990
chr1-31	chr1	31000001	32000000	.	1000000	1286	1350	1031	692	1027	966
chr1-32	chr1	32000001	33000000	.	1000000	1364	1342	969	747	1083	1029
chr1-33	chr1	33000001	34000000	.	1000000	1436	1420	990	673	1076	993
chr1-34	chr1	34000001	35000000	.	1000000	1442	1304	1013	745	1022	975
chr1-35	chr1	35000001	36000000	.	1000000	1351	1207	983	750	1046	923
chr1-36	chr1	36000001	37000000	.	1000000	1417	1325	1028	811	1082	1057
chr1-37	chr1	37000001	38000000	.	1000000	1432	1270	976	784	1067	1027
chr1-38	chr1	38000001	39000000	.	1000000	1366	1321	1081	813	1057	1001
chr1-39	chr1	39000001	40000000	.	1000000	1464	1305	1023	684	1042	984
chr1-40	chr1	40000001	41000000	.	1000000	1313	1306	1019	762	1059	934
chr1-41	chr1	41000001	42000000	.	1000000	1421	1358	1002	778	1102	1017
chr1-42	chr1	42000001	43000000	.	1000000	1374	1276	979	766	1070	900
chr1-43	chr1	43000001	44000000	.	1000000	1444	1384	940	762	1095	1021
chr1-44	chr1	44000001	45000000	.	1000000	1353	1285	959	762	1110	1057
chr1-45	chr1	45000001	46000000	.	1000000	1402	1223	993	777	1021	985
chr1-46	chr1	46000001	47000000	.	1000000	1378	1280	1030	734	1042	1035
chr1-47	chr1	47000001	48000000	.	1000000	1339	1462	989	802	1024	1100
chr1-48	chr1	48000001	49000000	.	1000000	1459	1296	947	818	1101	1037
chr1-49	chr1	49000001	50000000	.	1000000	1406	1245	917	771	1004	1057
chr1-50	chr1	50000001	51000000	.	1000000	1380	1300	960	748	1070	1114
chr1-51	chr1	51000001	52000000	.	1000000	1296	1197	1021	794	1110	992
chr1-52	chr1	52000001	53000000	.	1000000	1322	1193	943	722	1078	1017
chr1-53	chr1	53000001	54000000	.	1000000	1432	1312	1042	816	1099	1014
chr1-54	chr1	54000001	55000000	.	1000000	1443	1343	928	762	1075	966
chr1-55	chr1	55000001	56000000	.	1000000	1358	1313	1089	782	1083	1002
chr1-56	chr1	56000001	57000000	.	1000000	1389	1314	1019	740	1053	1077
chr1-57	chr1	57000001	58000000	.	1000000	1384	1327	1033	806	1075	1087
chr1-58	chr1	58000001	59000000	.	1000000	1463	1301	1007	780	1068	1029
chr1-59	chr1	59000001	60000000	.	1000000	1374	1405	1107	828	1073	1020
chr1-60	chr1	60000001	61000000	.	1000000	1430	1246	923	769	1118	1054
chr1-61	chr1	61000001	62000000	.	1000000	1334	1237	1047	743	1046	1029
chr1-62	chr1	62000001	63000000	.	1000000	1257	1273	1001	708	1109	1008
chr1-63	chr1	63000001	64000000	.	1000000	1365	1415	909	802	1138	1069
chr1-64	chr1	64000001	65000000	.	1000000	1376	1251	1044	764	1083	1053
chr1-65	chr1	65000001	66000000	.	1000000	1414	1266	981	736	1000	1077
chr1-66	chr1	66000001	67000000	.	1000000	1428	1348	986	661	1024	1039
chr1-67	chr1	67000001	68000000	.	1000000	1346	1263	958	750	1058	1094
chr1-68	chr1	68000001	69000000	.	1000000	1348	1270	984	771	1058	1022
chr1-69	chr1	69000001	70000000	.	1000000	1393	1185	877	776	1050	1100
chr1-70	chr1	70000001	71000000	.	1000000	1292	1257	967	730	1075	1017
chr1-71	chr1	71000001	72000000	.	1000000	1298	1255	972	716	1130	1055
chr1-72	chr1	72000001	73000000	.	1000000	1231	1097	765	652	1011	992
chr1-73	chr1	73000001	74000000	.	1000000	1393	1156	858	700	1014	1136
chr1-74	chr1	74000001	75000000	.	1000000	1398	1237	869	684	1041	987
chr1-75	chr1	75000001	76000000	.	1000000	1304	1276	912	693	1001	1049
chr1-76	chr1	76000001	77000000	.	1000000	1402	1330	1026	762	1067	1041
chr1-77	chr1	77000001	78000000	.	1000000	1386	1378	898	773	1122	1035
chr1-78	chr1	78000001	79000000	.	1000000	1310	1333	873	803	1042	1076
chr1-79	chr1	79000001	80000000	.	1000000	1241	1148	784	712	1047	1108
chr1-80	chr1	80000001	81000000	.	1000000	1351	1194	799	732	1034	1105
chr1-81	chr1	81000001	82000000	.	1000000	1309	1295	937	671	1092	1048
chr1-82	chr1	82000001	83000000	.	1000000	1296	1324	892	758	1025	1110
chr1-83	chr1	83000001	84000000	.	1000000	1421	1295	1015	760	1080	1102
chr1-84	chr1	84000001	85000000	.	1000000	1325	1276	1043	738	1040	1054
chr1-85	chr1	85000001	86000000	.	1000000	1309	1156	919	739	961	972
chr1-86	chr1	86000001	87000000	.	1000000	1395	1296	951	765	1109	1079
chr1-87	chr1	87000001	88000000	.	1000000	1337	1338	972	826	1127	1136
chr1-88	chr1	88000001	89000000	.	1000000	1272	1241	922	707	1085	961
chr1-89	chr1	89000001	90000000	.	1000000	1380	1286	1018	794	1148	1096
chr1-90	chr1	90000001	91000000	.	1000000	1346	1163	934	776	1040	1022
chr1-91	chr1	91000001	92000000	.	1000000	1281	1215	938	735	1047	1088
chr1-92	chr1	92000001	93000000	.	1000000	1277	1298	1019	666	1105	971
chr1-93	chr1	93000001	94000000	.	1000000	1422	1357	1040	703	1092	1042
chr1-94	chr1	94000001	95000000	.	1000000	1359	1266	977	792	1093	975
chr1-95	chr1	95000001	96000000	.	1000000	1404	1280	906	726	1060	903
chr1-96	chr1	96000001	97000000	.	1000000	1353	1341	885	762	992	1025
chr1-97	chr1	97000001	98000000	.	1000000	1323	1187	993	724	1075	1146
chr1-98	chr1	98000001	99000000	.	1000000	1312	1194	983	760	1178	1031
chr1-99	chr1	99000001	100000000	.	1000000	1338	1228	948	826	1071	1036
chr1-100	chr1	100000001	101000000	.	1000000	1428	1347	926	724	1010	1068
chr1-101	chr1	101000001	102000000	.	1000000	1359	1307	949	681	1008	982
chr1-102	chr1	102000001	103000000	.	1000000	1367	1233	833	680	991	1003
chr1-103	chr1	103000001	104000000	.	1000000	1153	1355	983	710	1107	1004
chr1-104	chr1	104000001	105000000	.	1000000	1279	1183	817	715	977	968
chr1-105	chr1	105000001	106000000	.	1000000	1227	1195	808	676	998	1014
chr1-106	chr1	106000001	107000000	.	1000000	1376	1258	855	720	1101	1172
chr1-107	chr1	107000001	108000000	.	1000000	1328	1279	981	747	1091	1059
chr1-108	chr1	108000001	109000000	.	1000000	1478	1305	951	802	1048	818
chr1-109	chr1	109000001	110000000	.	1000000	1352	1314	987	740	1021	1098
chr1-110	chr1	110000001	111000000	.	1000000	1339	1332	1090	795	1187	966
chr1-111	chr1	111000001	112000000	.	1000000	1320	1382	962	757	1103	1106
chr1-112	chr1	112000001	113000000	.	1000000	1310	1308	988	719	1097	1011
chr1-113	chr1	113000001	114000000	.	1000000	1336	1334	939	797	1039	1037
chr1-114	chr1	114000001	115000000	.	1000000	1403	1421	985	777	1149	1029
chr1-115	chr1	115000001	116000000	.	1000000	1365	1367	1082	737	1055	996
chr1-116	chr1	116000001	117000000	.	1000000	1365	1308	1089	794	1099	1033
chr1-117	chr1	117000001	118000000	.	1000000	1321	1307	932	762	1095	1034
chr1-118	chr1	118000001	119000000	.	1000000	1420	1328	850	813	1051	1014
chr1-119	chr1	119000001	120000000	.	1000000	1485	1332	985	839	1059	993
chr1-120	chr1	120000001	121000000	.	1000000	1410	1076	1057	749	873	963
chr1-121	chr1	121000001	122000000	.	1000000	1344	1190	1183	776	1215	1030
chr1-122	chr1	122000001	123000000	.	1000000	3363	2257	3429	1779	3207	2616
chr1-123	chr1	123000001	124000000	.	1000000	5697	4039	5869	2743	5466	4323
chr1-124	chr1	124000001	125000000	.	1000000	8032	5347	6905	3615	6680	6161
chr1-125	chr1	125000001	126000000	.	1000000	8979	3038	3940	4742	4390	7776
chr1-126	chr1	126000001	127000000	.	1000000	0	0	0	0	0	0
