""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	1.50111028867506	1.76	1.80400421496312	1.68837150121272	0.163658681482037
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1.91709844559585	1.99686274509804	1.89884088514225	1.93760069194538	0.0521279947468767
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2.63360473723168	2.22274509803922	2.20442571127503	2.35359184884864	0.242671203953649
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2.19689119170984	2.13176470588235	2.10326659641728	2.14397416466983	0.0479916073270765
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	2.16876387860844	2.21803921568627	2	2.1289343647649	0.114346261521882
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	2.25610658771281	2.0078431372549	2.00210748155954	2.08868573550908	0.145019070301219
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1.9319022945966	2.13803921568627	2.08219178082192	2.05071109703493	0.106613238614421
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	2.01332346410067	2.15529411764706	2.03793466807165	2.06885074993979	0.0758667892140926
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	2.10954848260548	1.96078431372549	2.25711275026344	2.10914851553147	0.148164623157827
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2.079940784604	2.03764705882353	2.06743940990516	2.0616757511109	0.0217279688908304
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	2.14359733530718	2.0878431372549	2.19388830347734	2.14177625867981	0.0530460324609525
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	2.18356772760918	2.1443137254902	1.91991570073762	2.082599051279	0.142248457208211
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	2.11843079200592	1.97333333333333	2.04214963119073	2.04463791884333	0.0725807261598587
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	2.21909696521095	2.1521568627451	2.12855637513172	2.16660340102926	0.0469672914300032
