	Chr	Start	End	Name	Band.type	Color
1	chr1	0	2300000	p36.33	gneg	#f7f7f7
2	chr1	2300000	5400000	p36.32	gpos25	#cccccc
3	chr1	5400000	7200000	p36.31	gneg	#f7f7f7
4	chr1	7200000	9200000	p36.23	gpos25	#cccccc
5	chr1	9200000	12700000	p36.22	gneg	#f7f7f7
6	chr1	12700000	16200000	p36.21	gpos50	#969696
7	chr1	16200000	20400000	p36.13	gneg	#f7f7f7
8	chr1	20400000	23900000	p36.12	gpos25	#cccccc
9	chr1	23900000	28000000	p36.11	gneg	#f7f7f7
10	chr1	28000000	30200000	p35.3	gpos25	#cccccc
11	chr1	30200000	32400000	p35.2	gneg	#f7f7f7
12	chr1	32400000	34600000	p35.1	gpos25	#cccccc
13	chr1	34600000	40100000	p34.3	gneg	#f7f7f7
14	chr1	40100000	44100000	p34.2	gpos25	#cccccc
15	chr1	44100000	46800000	p34.1	gneg	#f7f7f7
16	chr1	46800000	50700000	p33	gpos75	#636363
17	chr1	50700000	56100000	p32.3	gneg	#f7f7f7
18	chr1	56100000	59000000	p32.2	gpos50	#969696
19	chr1	59000000	61300000	p32.1	gneg	#f7f7f7
20	chr1	61300000	68900000	p31.3	gpos50	#969696
21	chr1	68900000	69700000	p31.2	gneg	#f7f7f7
22	chr1	69700000	84900000	p31.1	gpos100	#252525
23	chr1	84900000	88400000	p22.3	gneg	#f7f7f7
24	chr1	88400000	92000000	p22.2	gpos75	#636363
25	chr1	92000000	94700000	p22.1	gneg	#f7f7f7
26	chr1	94700000	99700000	p21.3	gpos75	#636363
27	chr1	99700000	102200000	p21.2	gneg	#f7f7f7
28	chr1	102200000	107200000	p21.1	gpos100	#252525
29	chr1	107200000	111800000	p13.3	gneg	#f7f7f7
30	chr1	111800000	116100000	p13.2	gpos50	#969696
31	chr1	116100000	117800000	p13.1	gneg	#f7f7f7
32	chr1	117800000	120600000	p12	gpos50	#969696
33	chr1	120600000	121500000	p11.2	gneg	#f7f7f7
34	chr1	121500000	125000000	p11.1	acen	#2b8cbe
35	chr1	125000000	128900000	q11	acen	#2b8cbe
36	chr1	128900000	142600000	q12	gvar	#045a8d
37	chr1	142600000	147000000	q21.1	gneg	#f7f7f7
38	chr1	147000000	150300000	q21.2	gpos50	#969696
39	chr1	150300000	155000000	q21.3	gneg	#f7f7f7
40	chr1	155000000	156500000	q22	gpos50	#969696
41	chr1	156500000	159100000	q23.1	gneg	#f7f7f7
42	chr1	159100000	160500000	q23.2	gpos50	#969696
43	chr1	160500000	165500000	q23.3	gneg	#f7f7f7
44	chr1	165500000	167200000	q24.1	gpos50	#969696
45	chr1	167200000	170900000	q24.2	gneg	#f7f7f7
46	chr1	170900000	172900000	q24.3	gpos75	#636363
47	chr1	172900000	176000000	q25.1	gneg	#f7f7f7
48	chr1	176000000	180300000	q25.2	gpos50	#969696
49	chr1	180300000	185800000	q25.3	gneg	#f7f7f7
50	chr1	185800000	190800000	q31.1	gpos100	#252525
51	chr1	190800000	193800000	q31.2	gneg	#f7f7f7
52	chr1	193800000	198700000	q31.3	gpos100	#252525
53	chr1	198700000	207200000	q32.1	gneg	#f7f7f7
54	chr1	207200000	211500000	q32.2	gpos25	#cccccc
55	chr1	211500000	214500000	q32.3	gneg	#f7f7f7
56	chr1	214500000	224100000	q41	gpos100	#252525
57	chr1	224100000	224600000	q42.11	gneg	#f7f7f7
58	chr1	224600000	227000000	q42.12	gpos25	#cccccc
59	chr1	227000000	230700000	q42.13	gneg	#f7f7f7
60	chr1	230700000	234700000	q42.2	gpos50	#969696
61	chr1	234700000	236600000	q42.3	gneg	#f7f7f7
62	chr1	236600000	243700000	q43	gpos75	#636363
63	chr1	243700000	249250621	q44	gneg	#f7f7f7
64	chr2	0	4400000	p25.3	gneg	#f7f7f7
65	chr2	4400000	7100000	p25.2	gpos50	#969696
66	chr2	7100000	12200000	p25.1	gneg	#f7f7f7
67	chr2	12200000	16700000	p24.3	gpos75	#636363
68	chr2	16700000	19200000	p24.2	gneg	#f7f7f7
69	chr2	19200000	24000000	p24.1	gpos75	#636363
70	chr2	24000000	27900000	p23.3	gneg	#f7f7f7
71	chr2	27900000	30000000	p23.2	gpos25	#cccccc
72	chr2	30000000	32100000	p23.1	gneg	#f7f7f7
73	chr2	32100000	36600000	p22.3	gpos75	#636363
74	chr2	36600000	38600000	p22.2	gneg	#f7f7f7
75	chr2	38600000	41800000	p22.1	gpos50	#969696
