""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"bin"	"sum"	"norm.var"	"gc_blocked"	"norm.clean.var"	"var_blocked"	"norm.pat"
"1"	"chr1-0"	"chr1"	1	1000000	"."	1000000	1014	1122	856	641	873	918	1156	979	1124	581	2089	485	523	152	2989	2176	695	1158	706	0.383494	1	20237	0.0280078622671192	FALSE	0.0280078622671192	FALSE	NA
"2"	"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1295	1273	901	717	1109	964	1303	1235	1217	708	2327	583	697	191	3421	2342	882	1219	969	0.572853	2	23353	0.0203471090739143	FALSE	0.0203471090739143	FALSE	NA
"3"	"chr1-2"	"chr1"	2000001	3000000	"."	1000000	1779	1417	1046	690	1248	1048	1471	1248	1287	753	2572	576	758	220	3936	2439	966	1537	831	0.558315	3	25822	0.034761851094982	FALSE	0.034761851094982	FALSE	NA
"4"	"chr1-3"	"chr1"	3000001	4000000	"."	1000000	1484	1359	998	754	1058	966	1253	1283	1215	744	2299	566	643	220	3684	2525	992	1406	892	0.564709	4	24341	0.0264903229126836	FALSE	0.0264903229126836	FALSE	NA
"5"	"chr1-4"	"chr1"	4000001	5000000	"."	1000000	1465	1414	949	724	1168	1060	1296	1261	1276	805	2303	555	720	218	3749	2414	929	1382	726	0.478991	5	24414	0.020269223487033	FALSE	0.0138093528465574	FALSE	NA
"6"	"chr1-5"	"chr1"	5000001	6000000	"."	1000000	1524	1280	950	753	1115	1014	1325	1297	1244	811	2311	617	709	207	3545	2488	885	1360	800	0.472349	6	24235	0.0130197394325487	FALSE	0.00926880847124685	FALSE	NA
"7"	"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1305	1363	988	709	1031	959	1148	1075	1226	791	2220	541	708	217	3569	2294	862	1352	668	0.516295	7	23026	0.0246395981884866	FALSE	0.0164161827769055	FALSE	NA
"8"	"chr1-7"	"chr1"	7000001	8000000	"."	1000000	1360	1374	967	793	1017	1023	1257	1156	1270	759	2158	598	672	205	3670	2403	934	1339	726	0.477805	8	23681	0.0169433785131327	FALSE	0.0120744282117306	FALSE	NA
"9"	"chr1-8"	"chr1"	8000001	9000000	"."	1000000	1425	1250	1071	727	1016	1027	1329	1054	1126	859	2131	645	737	194	3386	2367	808	1272	725	0.445511	9	23149	0.0194125745882285	FALSE	0.0194125745882285	FALSE	NA
"10"	"chr1-9"	"chr1"	9000001	10000000	"."	1000000	1405	1299	981	714	1071	1039	1295	1190	1187	753	2238	516	681	188	3468	2449	876	1367	739	0.501479	10	23456	0.017692769629105	FALSE	0.017692769629105	FALSE	NA
