""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	1.50111028867506	1.76	1.80400421496312	1.7277628032345	1.64561734213007	1.77049180327869	1.70149774204691	0.11194451810026
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1.91709844559585	1.99686274509804	1.89884088514225	1.93261455525606	2.09048067860509	1.85920925747348	1.9491844278618	0.0826703416282919
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2.63360473723168	2.22274509803922	2.20442571127503	1.85983827493261	2.35249764373233	2.02121504339441	2.21572108476755	0.267580519010799
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2.19689119170984	2.13176470588235	2.10326659641728	2.03234501347709	1.99434495758718	1.86306653809065	2.05361316719407	0.117792012664125
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	2.16876387860844	2.21803921568627	2	1.95148247978437	2.20169651272385	2.0443587270974	2.09739013565005	0.113239961895941
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	2.25610658771281	2.0078431372549	2.00210748155954	2.02964959568733	2.10179076343073	1.9556412729026	2.05885647309132	0.107777723779879
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1.9319022945966	2.13803921568627	2.08219178082192	1.91105121293801	1.94344957587182	1.84956605593057	1.9760333559742	0.110219254166569
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	2.01332346410067	2.15529411764706	2.03793466807165	2.13746630727763	1.91705937794533	1.97299903567985	2.0390128284537	0.0928504135768508
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	2.10954848260548	1.96078431372549	2.25711275026344	1.95956873315364	1.91517436380773	1.98071359691418	2.03048370674499	0.129052089805549
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2.079940784604	2.03764705882353	2.06743940990516	1.92452830188679	2.01885014137606	2.00385728061717	2.02204382953545	0.055689326133006
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	2.14359733530718	2.0878431372549	2.19388830347734	2.00808625336927	2.01696512723845	1.8129218900675	2.04388367445244	0.133959730252361
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	2.18356772760918	2.1443137254902	1.91991570073762	1.87601078167116	2.01319509896324	1.88621022179364	2.00386887604417	0.133673331883688
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	2.11843079200592	1.97333333333333	2.04214963119073	1.94070080862534	1.92836946277097	1.82063645130183	1.97060341320469	0.102124639228246
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	2.21909696521095	2.1521568627451	2.12855637513172	2.11320754716981	1.79264844486334	1.82835101253616	2.03900286794285	0.181013027949175
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	2.01776461880089	2.19764705882353	2.03161222339305	2.09164420485175	2.18473138548539	1.92092574734812	2.07405420645045	0.106068094874246
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	2.12583271650629	1.9921568627451	2.02528977871444	2.05390835579515	2.35626767200754	2	2.09224256429475	0.138069244358732
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2.95484826054774	2.51921568627451	2.78398314014752	2.53099730458221	2.44297832233742	2.62873674059788	2.64345990908121	0.192459651108173
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	2.26498889711325	2.01725490196078	2.11380400421496	2.09703504043127	1.97549481621112	2.07907425265188	2.09127531876388	0.0997498233122493
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	2.18060695780903	2.08	2.01685985247629	2.35849056603774	1.99057492931197	1.96914175506268	2.09927901011628	0.148136252087517
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	2.01776461880089	2.24	2.07165437302424	2.10512129380054	1.89632422243167	1.95756991321119	2.04807240354475	0.120651283034059
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	2.19541080680977	2.12392156862745	1.97260273972603	2.00269541778976	1.97360980207352	2.01735776277724	2.04759968296729	0.0913270707954912
