""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	1.50111028867506	1.76	1.80400421496312	1.7277628032345	1.64561734213007	1.77049180327869	1.76085300837776	1.80961182994455	1.80562248995984	1.50518134715026	2.05206286836935	1.64406779661017	1.48579545454545	1.5049504950495	1.83938461538462	1.7077677571782	0.159693269916871
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1.91709844559585	1.99686274509804	1.89884088514225	1.93261455525606	2.09048067860509	1.85920925747348	1.98476770753998	2.28280961182994	1.95502008032129	1.83419689119171	2.28585461689587	1.97627118644068	1.98011363636364	1.89108910891089	2.10523076923077	1.99936401172637	0.137579286315626
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	2.63360473723168	2.22274509803922	2.20442571127503	1.85983827493261	2.35249764373233	2.02121504339441	2.24067022086824	2.30683918669131	2.06746987951807	1.95077720207254	2.52652259332024	1.95254237288136	2.15340909090909	2.17821782178218	2.42215384615385	2.20619524818681	0.219007268707363
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	2.19689119170984	2.13176470588235	2.10326659641728	2.03234501347709	1.99434495758718	1.86306653809065	1.90860624523991	2.37153419593346	1.95180722891566	1.92746113989637	2.25834970530452	1.91864406779661	1.82670454545455	2.17821782178218	2.26707692307692	2.06200539177097	0.166778776954997
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	2.16876387860844	2.21803921568627	2	1.95148247978437	2.20169651272385	2.0443587270974	1.97410510281797	2.33086876155268	2.04979919678715	2.08549222797927	2.262278978389	1.88135593220339	2.04545454545455	2.15841584158416	2.30707692307692	2.11194588824969	0.135569017805154
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	2.25610658771281	2.0078431372549	2.00210748155954	2.02964959568733	2.10179076343073	1.9556412729026	2.01827875095202	2.39741219963031	1.99839357429719	2.10103626943005	2.27013752455796	2.09152542372881	2.01420454545455	2.04950495049505	2.18153846153846	2.09834470257549	0.125137316720921
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1.9319022945966	2.13803921568627	2.08219178082192	1.91105121293801	1.94344957587182	1.84956605593057	1.74866717440975	1.98706099815157	1.96947791164659	2.04922279792746	2.18074656188605	1.83389830508475	2.01136363636364	2.14851485148515	2.19630769230769	1.99876400434052	0.134120571984457
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	2.01332346410067	2.15529411764706	2.03793466807165	2.13746630727763	1.91705937794533	1.97299903567985	1.91469916222391	2.13678373382625	2.04016064257028	1.96632124352332	2.11984282907662	2.0271186440678	1.90909090909091	2.02970297029703	2.25846153846154	2.04241724292399	0.101780451049338
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	2.10954848260548	1.96078431372549	2.25711275026344	1.95956873315364	1.91517436380773	1.98071359691418	2.02437166793602	1.94824399260628	1.80883534136546	2.22538860103627	2.09332023575638	2.1864406779661	2.09375	1.92079207920792	2.08369230769231	2.03784914293578	0.126353287716627
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	2.079940784604	2.03764705882353	2.06743940990516	1.92452830188679	2.01885014137606	2.00385728061717	1.97258187357197	2.1996303142329	1.90682730923695	1.95077720207254	2.19842829076621	1.74915254237288	1.93465909090909	1.86138613861386	2.13415384615385	2.0026573056762	0.123578472404687
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	2.14359733530718	2.0878431372549	2.19388830347734	2.00808625336927	2.01696512723845	1.8129218900675	2.04874333587205	1.86506469500924	1.89397590361446	1.9559585492228	2.1188605108055	2.03050847457627	2.08522727272727	1.95049504950495	2.16	2.02480905586981	0.112181483405118
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	2.18356772760918	2.1443137254902	1.91991570073762	1.87601078167116	2.01319509896324	1.88621022179364	1.91012947448591	2.17929759704251	1.89076305220884	1.87823834196891	2.26424361493124	1.92542372881356	1.97727272727273	2	2.14092307692308	2.01263365799412	0.133572765178095
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	2.11843079200592	1.97333333333333	2.04214963119073	1.94070080862534	1.92836946277097	1.82063645130183	1.92079207920792	2.00924214417745	2.08674698795181	1.89119170984456	2.07858546168959	1.73559322033898	1.94318181818182	1.88118811881188	2.05846153846154	1.96190690385958	0.106280774414265
