""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"ploidy"	"gender"	"bin"	"sum"	"mean"	"norm.median"	"norm.sd"	"nnorm.var"	"gc_blocked"	"norm.clean.mean"	"norm.clean.median"	"norm.clean.var"	"norm.clean.sd"	"norm.clean.iqr"	"var_blocked"	"blocked"
"1"	"chr1-0"	"chr1"	1	1000000	"."	1000000	1014	1122	856	641	873	918	1156	979	1124	581	2089	485	523	152	2989	2176	695	1158	706	0.383494	2	"neutral"	1	20237	1065.10526315789	0.879756468797565	0.0747148022466157	0.00721254216186513	FALSE	0.852762139605582	0.871818935207408	0.00427623221385863	0.0653929064490838	0.0806116228785968	FALSE	FALSE
"2"	"chr1-1"	"chr1"	1000001	2000000	"."	1000000	1295	1273	901	717	1109	964	1303	1235	1217	708	2327	583	697	191	3421	2342	882	1219	969	0.572853	2	"neutral"	2	23353	1229.10526315789	0.990056818181818	0.0747641021969563	0.00570250936292638	FALSE	1.0033523786183	0.989096205701079	0.00441747832945461	0.0664641130946213	0.0810917144507217	FALSE	FALSE
"3"	"chr1-2"	"chr1"	2000001	3000000	"."	1000000	1779	1417	1046	690	1248	1048	1471	1248	1287	753	2572	576	758	220	3936	2439	966	1537	831	0.558315	2	"neutral"	3	25822	1359.05263157895	1.10221285563751	0.104577878198096	0.00900220104968018	FALSE	1.09378854728474	1.0956608832643	0.00633821328557743	0.0796128964777531	0.1298901211025	TRUE	TRUE
"4"	"chr1-3"	"chr1"	3000001	4000000	"."	1000000	1484	1359	998	754	1058	966	1253	1283	1215	744	2299	566	643	220	3684	2525	992	1406	892	0.564709	2	"neutral"	4	24341	1281.10526315789	1.06588235294118	0.0881383814037438	0.0068377244842464	FALSE	1.04129229724572	1.05875782557491	0.00635092917538831	0.0796927172041982	0.137042809156669	TRUE	TRUE
"5"	"chr1-4"	"chr1"	4000001	5000000	"."	1000000	1465	1414	949	724	1168	1060	1296	1261	1276	805	2303	555	720	218	3749	2414	929	1382	726	0.478991	2	"neutral"	5	24414	1284.94736842105	1.05970149253731	0.0764147109435828	0.00519980260466701	FALSE	1.06233857515221	1.0694547066647	0.0042205968610489	0.064966120871181	0.0848811954672981	FALSE	FALSE
"6"	"chr1-5"	"chr1"	5000001	6000000	"."	1000000	1524	1280	950	753	1115	1014	1325	1297	1244	811	2311	617	709	207	3545	2488	885	1360	800	0.472349	2	"neutral"	6	24235	1275.52631578947	1.04576271186441	0.0602470579610429	0.00331898571366605	FALSE	1.04158181700221	1.03525759355597	0.00250587436757609	0.0500587092080498	0.0795246202308564	FALSE	FALSE
"7"	"chr1-6"	"chr1"	6000001	7000000	"."	1000000	1305	1363	988	709	1031	959	1148	1075	1226	791	2220	541	708	217	3569	2294	862	1352	668	0.516295	2	"neutral"	7	23026	1211.89473684211	1.00568181818182	0.0776863919539761	0.00596717406006432	FALSE	1.00639888599394	1.0063527615931	0.00412573350556963	0.064231872972611	0.096933928293416	FALSE	FALSE
"8"	"chr1-7"	"chr1"	7000001	8000000	"."	1000000	1360	1374	967	793	1017	1023	1257	1156	1270	759	2158	598	672	205	3670	2403	934	1339	726	0.477805	2	"neutral"	8	23681	1246.36842105263	1.01896733403583	0.065349305580273	0.00411302577125508	FALSE	1.03160274648095	1.0191144856375	0.00314979119571058	0.0561230005943248	0.0734489997451412	FALSE	FALSE
"9"	"chr1-8"	"chr1"	8000001	9000000	"."	1000000	1425	1250	1071	727	1016	1027	1329	1054	1126	859	2131	645	737	194	3386	2367	808	1272	725	0.445511	2	"neutral"	9	23149	1218.36842105263	1	0.0654400932998097	0.0042824058110878	FALSE	1.0097063539959	1	0.0042824058110878	0.0654400932998097	0.0696868766566017	FALSE	FALSE
"10"	"chr1-9"	"chr1"	9000001	10000000	"."	1000000	1405	1299	981	714	1071	1039	1295	1190	1187	753	2238	516	681	188	3468	2449	876	1367	739	0.501479	2	"neutral"	10	23456	1234.52631578947	1.00752587017874	0.0672797861198908	0.00445919836110827	FALSE	1.00692020638135	1.00752587017874	0.00452656962033825	0.0672797861198908	0.105346656537094	FALSE	FALSE
"11"	"chr1-10"	"chr1"	10000001	11000000	"."	1000000	1448	1331	1041	745	1070	940	1345	1009	1179	755	2157	599	734	197	3510	2329	869	1303	759	0.480842	2	"neutral"	11	23320	1227.36842105263	1.02238805970149	0.0566054686191646	0.00306538651591986	FALSE	1.01108015295056	1.02238805970149	0.00320417907759523	0.0566054686191646	0.0740238552200239	FALSE	FALSE
"12"	"chr1-11"	"chr1"	11000001	12000000	"."	1000000	1475	1367	911	696	1068	978	1254	1179	1177	725	2305	568	696	202	3479	2418	867	1338	684	0.500389	2	"neutral"	12	23387	1230.89473684211	1	0.0760279327705358	0.00578024656136111	FALSE	1.01491492161393	1.00235183443086	0.00409112531650548	0.0639619051975899	0.114280243116765	FALSE	FALSE
"13"	"chr1-12"	"chr1"	12000001	13000000	"."	1000000	1431	1258	969	720	1023	944	1261	1087	1299	730	2116	512	684	190	3345	2210	828	1234	666	0.444586	2	"neutral"	13	22507	1184.57894736842	0.970350404312669	0.0630334273414577	0.00421972997962337	FALSE	0.981512511182095	0.970970656701789	0.00241931186204477	0.049186500811145	0.0615938498414431	FALSE	FALSE
"14"	"chr1-13"	"chr1"	13000001	14000000	"."	1000000	1499	1372	1010	784	951	948	1242	1158	1303	726	2093	631	689	219	3398	2351	849	1283	742	0.450033	2	"neutral"	14	23248	1223.57894736842	1.0440927945921	0.0674866948289854	0.00417790076972339	FALSE	1.01575301910831	1.0440927945921	0.00455445397894061	0.0674866948289854	0.104322604476224	FALSE	FALSE
"15"	"chr1-14"	"chr1"	14000001	15000000	"."	1000000	1363	1401	964	776	1159	996	1299	1228	1238	811	2192	588	760	219	3588	2316	887	1342	826	0.449915	2	"neutral"	15	23953	1260.68421052632	1.05051813471503	0.048918056347658	0.0021683594556544	FALSE	1.04652410520252	1.05051813471503	0.00239297623683264	0.048918056347658	0.0844881895472436	FALSE	FALSE
"16"	"chr1-15"	"chr1"	15000001	16000000	"."	1000000	1436	1270	961	762	1250	1037	1218	1181	1184	809	2141	518	722	185	3444	2286	869	1302	748	0.483764	2	"neutral"	16	23323	1227.52631578947	1.02358490566038	0.0728645664556127	0.00506739810341887	FALSE	1.00224869760381	1.0181148975088	0.00394076851953767	0.0627755407745539	0.0874140325338961	FALSE	FALSE
"17"	"chr1-16"	"chr1"	16000001	17000000	"."	1000000	1996	1606	1321	939	1296	1363	1494	1781	1682	989	2750	668	800	307	4457	2850	1119	1702	925	0.47616	2	"neutral"	17	30045	1581.31578947368	1.3131021194605	0.139256240129698	0.0112468868456756	FALSE	1.31404632051785	1.32557621696296	0.00328027787229632	0.0572737101321044	0.0907859575499819	FALSE	FALSE
