""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML11_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML12_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML13_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML14_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy1_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy2_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy3_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.Kontrolle.karyotype_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.WholeGenomeHealthy_S7_L001.bam"	"mean"	"sd"
"chr1-0"	"chr1"	1	1000000	"."	1000000	342.763064088489	279.07742183099	252.080750670448	253.18184619536	308.432985014223	321.512479811277	287.172282709749	305.60556613827	283.726706077619	292.617011392936	30.122138959748
"chr1-1"	"chr1"	1000001	2000000	"."	1000000	381.814097718484	335.468323561787	335.947004239584	318.142977784959	353.010786796138	346.039626708645	364.440220647481	321.703959518611	389.420932279338	349.554214361669	25.054489715576
"chr1-2"	"chr1"	2000001	3000000	"."	1000000	422.013691161127	331.440402009588	365.348391985085	366.447408966968	406.153305124115	360.371754714938	399.148813090098	405.626731566944	333.961604462466	376.723567009037	32.8578675584813
"chr1-3"	"chr1"	3000001	4000000	"."	1000000	377.219858467897	325.686228363588	309.919546235369	366.447408966968	380.149587417998	373.078589854538	409.891948846146	371.054772012442	358.476234874272	363.547130559913	29.7933129118724
"chr1-4"	"chr1"	4000001	5000000	"."	1000000	377.876178360838	319.356637352988	347.032773389527	363.11606888545	386.856895556481	356.677907290635	383.860504514183	364.720977895586	291.764289819195	354.584692562765	31.3556656170289
"chr1-5"	"chr1"	5000001	6000000	"."	1000000	379.18881814672	355.032513958187	341.730883796076	344.793698437102	365.806266937243	367.61169566657	365.679813234717	358.914999955136	321.503349663024	355.584671088308	17.282588587452
"chr1-6"	"chr1"	6000001	7000000	"."	1000000	364.25754058231	311.300794248588	341.248893833035	361.450398844691	368.282811480683	338.947439653984	356.176270065905	356.803735249517	268.455296968625	340.76924232526	32.2725376683382
"chr1-7"	"chr1"	7000001	8000000	"."	1000000	354.084582241723	344.099584030787	323.897255163558	341.462358355584	378.704936434325	355.052614423942	385.926492159577	353.372930102887	291.764289819195	347.596115859064	28.0551357324424
"chr1-8"	"chr1"	8000001	9000000	"."	1000000	349.654422964371	371.144200166986	355.226602761224	323.139987907236	349.399159336955	349.733474132947	333.863603495651	335.691088193333	291.362410632116	339.912772176758	22.8695538474944
"chr1-9"	"chr1"	9000001	10000000	"."	1000000	367.210980100545	296.915360133589	328.235164830928	313.145967662682	357.86068652704	361.849293684659	361.961035473008	360.762356572552	296.988719251219	338.325507137358	29.56088473713
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	353.920502268488	344.675001395387	353.780632872101	328.136998029512	362.19463947806	344.118826048007	359.068652769456	343.872238927604	305.026302992794	343.865977197935	17.7591337309422
